Last Name,First Name,Date of Birth,Gender,Address LGA,State of Origin,Geopolitical Zone,School Type,Schools LGA,Secondary School Living Arrangement,Digital methods in school,Weekly Hours Spent Reading,Mentor,Parents Occupation,Financial status,Future Ambition,Digital literacy,Extra Extracurricular Activities,Do you have a library in your school?,Library visit,Academic Stream,Attendance Rate,Study Habits,Behavioral Condition in School,Learning Environment,Private Tutors,Access to online Learning Platform,Supportive Home Environment,Parental Engagement in School Life,Qualified Teachers,Anxiety Before Exam,Do you understand English,Access to Practice Exams,Past Jamb Score,Credit pass in core five subjects
Amus,Harisu,2007-11-15,Female,Shomolu,Taraba,South East,Public,Eti-Osa,Boarding,No,10 hours,No,Medical Professional,Low Income,Businessperson,Low,Clubs,No,Rarely,Commerce,4,Rarely,Excellent,Average,Yes,No,Yes,Strongly Disagree,Yes,Medium,Yes,No,143,No
Anaba,Funbi,2010-04-21,Female,Ifako-Ijaye,Lagos,South East,Public,Lagos Mainland,Boarding,No,10 hours,Yes,Teacher,High Income,Developer,Medium,None,Yes,Often,Commerce,10,Daily,Good,Poor,Yes,Yes,Yes,Strongly Disagree,Yes,Low,Yes,No,336,No
Oguntayo,Lateef,2005-10-13,Male,Apapa,Adamawa,South West,Private,Ojo,Boarding,No,3 hours,Yes,Medical Professional,Middle Income,Scientist,Medium,Music,Yes,Sometimes,Commerce,2,Daily,Major Issues,Good,No,Yes,No,Strongly Agree,No,High,No,Yes,123,Yes
Uwa,Saidu,2011-07-03,Male,Kosofe,Imo,South East,Private,Mushin,Day,Yes,10 hours,No,Civil Servant,High Income,Engineer,Low,Music,Yes,Often,Science,1,Occasional,Average,Good,Yes,Yes,No,Neutral,No,Low,No,Yes,168,No
Egbunu,Aisha,2007-07-28,Male,Eti-Osa,Kwara,South South,Private,Amuwo-Odofin,Boarding,No,5 hours,Yes,Civil Servant,Low Income,Businessperson,High,Clubs,Yes,Rarely,Commerce,5,Rarely,Average,Average,Yes,No,Yes,Neutral,Yes,Low,No,No,173,No
Osanyintipin,Monisola,2011-04-27,Male,Epe,Cross River,South South,Private,Apapa,Boarding,No,1 hour,Yes,Business,High Income,Teacher,Medium,Sports,No,Often,Commerce,6,Occasional,Minor Issues,Good,No,No,No,Strongly Disagree,No,Low,No,No,175,No
Okwe,Isong,2011-07-22,Male,Alimosho,Kebbi,North West,Private,Ikorodu,Day,Yes,5 hours,No,Farmer,High Income,Scientist,Medium,None,Yes,Rarely,Arts,3,Rarely,Excellent,Poor,Yes,No,No,Neutral,Yes,Low,No,No,122,No
Okwe,Monisola,2009-07-25,Male,Mushin,Osun,North East,Private,Mushin,Boarding,No,5 hours,No,Farmer,High Income,Engineer,Medium,Sports,No,Sometimes,Commerce,1,Daily,Good,Average,Yes,Yes,Yes,Neutral,Yes,High,No,Yes,307,Yes
Igbe,Fatai,2011-08-27,Female,Lagos Island,Katsina,South South,Public,Eti-Osa,Boarding,Yes,32 hours,Yes,Engineer,Middle Income,Developer,High,Sports,No,Often,Commerce,4,Occasional,Excellent,Good,Yes,Yes,Yes,Disagree,No,Low,No,Yes,191,Yes
Obiora,Charity,2005-01-22,Female,Ikeja,Bauchi,North West,Private,Shomolu,Day,Yes,10 hours,Yes,Farmer,Low Income,Doctor,Low,Sports,Yes,Rarely,Commerce,7,Occasional,Major Issues,Good,Yes,Yes,No,Neutral,No,High,No,No,185,Yes
Egbon,Emmanuel,2005-01-30,Male,Apapa,Gombe,South West,Private,Alimosho,Day,No,3 hours,No,Business,Middle Income,Lawyer,Medium,Drama,No,Sometimes,Arts,1,Rarely,Average,Good,Yes,No,No,Strongly Disagree,No,Medium,Yes,Yes,317,No
Oshodi,Omotola,2008-05-20,Male,Oshodi-Isolo,Katsina,South East,Private,Eti-Osa,Day,Yes,10 hours,No,Civil Servant,Middle Income,Teacher,High,Sports,Yes,Often,Arts,9,Rarely,Excellent,Poor,Yes,No,No,Strongly Disagree,No,Medium,No,No,251,No
Igbo,Isiyaka,2005-10-24,Female,Lagos Mainland,Abuja,South East,Public,Ibeju-Lekki,Boarding,No,1 hour,Yes,Teacher,High Income,Developer,Medium,Clubs,Yes,Often,Commerce,10,Rarely,Excellent,Average,No,Yes,Yes,Neutral,No,Low,No,Yes,208,Yes
Abubakar,Lilian,2004-12-08,Male,Surulere,Anambra,South South,Public,Surulere,Day,No,5 hours,Yes,Civil Servant,Middle Income,Scientist,High,None,Yes,Sometimes,Arts,5,Rarely,Average,Good,Yes,Yes,Yes,Strongly Agree,Yes,High,No,No,214,Yes
Kolapo,Bola,2006-07-29,Female,Badagry,Edo,South East,Private,Oshodi-Isolo,Day,Yes,10 hours,No,Civil Servant,Middle Income,Doctor,High,None,Yes,Rarely,Commerce,2,Rarely,Good,Good,Yes,No,Yes,Strongly Disagree,No,Medium,Yes,Yes,171,No
Onyeka,Musa,2009-06-22,Male,Alimosho,Borno,South West,Public,Epe,Day,Yes,1 hour,No,Teacher,High Income,Developer,High,Music,Yes,Often,Arts,2,Occasional,Minor Issues,Good,No,Yes,No,Neutral,No,Low,No,Yes,158,No
Yahaya,Bassey,2009-10-04,Female,Eti-Osa,Kwara,North East,Private,Apapa,Boarding,No,32 hours,No,Teacher,Low Income,Lawyer,Low,Drama,No,Often,Commerce,9,Rarely,Excellent,Good,Yes,Yes,No,Agree,No,High,No,No,159,Yes
Onyeka,Musa,2010-03-09,Male,Shomolu,Borno,South South,Public,Ibeju-Lekki,Boarding,No,3 hours,Yes,Farmer,Middle Income,Developer,Medium,Drama,No,Sometimes,Science,5,Rarely,Average,Good,No,Yes,No,Strongly Disagree,No,Medium,No,No,159,Yes
Odugu,Emmanuel,2009-10-25,Female,Kosofe,Abia,South West,Public,Ifako-Ijaye,Boarding,No,10 hours,No,Medical Professional,High Income,Engineer,High,Drama,Yes,Rarely,Arts,10,Occasional,Average,Poor,No,Yes,No,Strongly Agree,No,Medium,No,No,270,Yes
Okon,Aisha,2009-10-31,Female,Agege,Nasarawa,North West,Public,Ibeju-Lekki,Day,Yes,3 hours,Yes,Farmer,Middle Income,Engineer,High,None,Yes,Rarely,Arts,2,Occasional,Excellent,Average,No,No,No,Disagree,Yes,Low,No,No,269,Yes
Onyeka,Roseline,2009-02-08,Male,Surulere,Zamfara,North East,Public,Lagos Island,Day,Yes,3 hours,Yes,Farmer,High Income,Businessperson,Medium,Music,Yes,Often,Commerce,4,Daily,Excellent,Poor,Yes,Yes,No,Strongly Disagree,Yes,High,No,Yes,232,No
Olorunfemi,Nneka,2009-09-13,Female,Ajeromi-Ifelodun,Ekiti,South South,Private,Shomolu,Day,Yes,5 hours,Yes,Medical Professional,Middle Income,Developer,Medium,Music,Yes,Rarely,Arts,6,Rarely,Minor Issues,Good,Yes,Yes,No,Disagree,No,High,Yes,No,177,No
Saadu,Emmanuel,2007-08-24,Female,Ikorodu,Oyo,South East,Public,Apapa,Boarding,Yes,32 hours,No,Civil Servant,High Income,Doctor,Low,Clubs,Yes,Rarely,Arts,10,Daily,Average,Poor,No,No,No,Strongly Disagree,Yes,High,Yes,Yes,269,Yes
Stephen,Ibrahim,2008-10-30,Male,Ikorodu,Osun,South South,Public,Ibeju-Lekki,Day,Yes,1 hour,Yes,Civil Servant,Middle Income,Artist,High,Sports,Yes,Rarely,Commerce,10,Rarely,Minor Issues,Poor,Yes,Yes,No,Strongly Agree,No,High,Yes,No,244,No
Salam,Felicia,2005-07-24,Female,Oshodi-Isolo,Ebonyi,North West,Private,Badagry,Boarding,No,32 hours,Yes,Farmer,Middle Income,Engineer,Medium,Sports,No,Often,Science,3,Rarely,Average,Average,Yes,Yes,Yes,Neutral,Yes,Low,No,No,286,Yes
Ogidi,Gbenga,2009-12-17,Female,Ifako-Ijaye,Niger,South East,Private,Amuwo-Odofin,Boarding,Yes,10 hours,No,Engineer,High Income,Developer,Medium,None,Yes,Often,Science,9,Rarely,Average,Good,No,No,Yes,Neutral,Yes,Medium,Yes,Yes,204,Yes
Obi,Franklin,2008-05-10,Male,Ajeromi-Ifelodun,Abia,North East,Public,Ojo,Boarding,Yes,1 hour,Yes,Farmer,Low Income,Scientist,Medium,Drama,Yes,Sometimes,Science,6,Rarely,Excellent,Poor,No,Yes,No,Agree,No,High,Yes,No,279,Yes
Chukwu,Zaharudeen,2007-07-15,Male,Ifako-Ijaye,Ogun,South South,Private,Mushin,Boarding,No,5 hours,Yes,Business,Middle Income,Teacher,Medium,Clubs,No,Often,Commerce,6,Rarely,Good,Average,Yes,Yes,No,Strongly Disagree,Yes,Medium,No,Yes,336,Yes
Ishaya,Zaharudeen,2008-09-26,Male,Ikeja,Kaduna,South West,Private,Lagos Mainland,Day,No,10 hours,No,Engineer,Middle Income,Businessperson,Medium,Music,No,Often,Science,4,Occasional,Excellent,Average,Yes,No,No,Strongly Disagree,No,Medium,No,No,187,Yes
Egbon,Adamu,2010-10-21,Male,Ifako-Ijaye,Taraba,North West,Public,Apapa,Day,Yes,10 hours,Yes,Teacher,High Income,Developer,Low,Clubs,Yes,Often,Commerce,6,Daily,Good,Good,Yes,Yes,Yes,Strongly Disagree,Yes,High,No,Yes,195,No
Ayeni,Ugonma,2011-01-04,Female,Agege,Ogun,South South,Public,Eti-Osa,Day,Yes,3 hours,No,Civil Servant,High Income,Scientist,High,Drama,Yes,Rarely,Commerce,10,Daily,Average,Good,No,No,Yes,Disagree,No,Medium,No,No,340,No
Okeke,Umar,2008-08-04,Female,Alimosho,Niger,South West,Public,Badagry,Boarding,Yes,1 hour,Yes,Business,High Income,Businessperson,Medium,Drama,No,Rarely,Commerce,6,Rarely,Good,Good,Yes,No,No,Strongly Agree,No,Low,Yes,Yes,141,No
Ibiam,Blessing,2010-04-24,Male,Oshodi-Isolo,Lagos,South South,Public,Eti-Osa,Boarding,No,3 hours,No,Civil Servant,Middle Income,Engineer,High,Drama,Yes,Rarely,Science,3,Daily,Average,Good,No,No,Yes,Disagree,No,High,No,Yes,158,Yes
Ibiam,Dare,2008-03-27,Male,Ikeja,Gombe,North West,Public,Ojo,Day,No,1 hour,Yes,Farmer,High Income,Teacher,High,Sports,Yes,Often,Science,1,Rarely,Average,Average,Yes,No,Yes,Strongly Agree,Yes,High,No,Yes,245,No
Okeke,Fatai,2007-07-11,Male,Mushin,Bayelsa,South South,Public,Ikorodu,Boarding,Yes,10 hours,No,Engineer,Middle Income,Teacher,Medium,Drama,Yes,Rarely,Commerce,6,Occasional,Good,Average,No,No,No,Strongly Agree,Yes,Medium,No,Yes,127,Yes
Okolie,Felicia,2010-10-16,Female,Surulere,Ondo,South East,Public,Lagos Island,Day,Yes,5 hours,Yes,Civil Servant,Low Income,Developer,Medium,Drama,No,Sometimes,Arts,7,Occasional,Excellent,Poor,Yes,Yes,No,Disagree,Yes,Low,No,No,222,No
Mmaduako,Cyril,2011-07-17,Male,Lagos Mainland,Ondo,South East,Public,Mushin,Day,Yes,5 hours,Yes,Engineer,Low Income,Artist,Medium,Clubs,No,Often,Arts,2,Occasional,Good,Average,Yes,No,Yes,Neutral,No,High,Yes,No,298,Yes
Augustine,Uchechukwu,2006-12-30,Female,Apapa,Akwa Ibom,South West,Public,Ojo,Day,No,3 hours,Yes,Civil Servant,Middle Income,Businessperson,Low,Music,No,Often,Science,1,Daily,Minor Issues,Poor,No,No,No,Disagree,No,Low,Yes,No,274,No
James,Ijeoma,2008-02-05,Female,Ibeju-Lekki,Benue,South East,Public,Surulere,Boarding,No,1 hour,No,Teacher,Low Income,Artist,High,Music,Yes,Rarely,Commerce,1,Daily,Average,Average,Yes,No,Yes,Disagree,No,Medium,No,Yes,106,No
Eze,Ude,2010-12-04,Male,Ibeju-Lekki,Ebonyi,North East,Private,Shomolu,Boarding,Yes,3 hours,Yes,Business,Middle Income,Developer,Medium,Clubs,No,Sometimes,Arts,7,Rarely,Major Issues,Good,Yes,Yes,Yes,Agree,Yes,High,No,No,309,Yes
Ishaya,Ruth,2006-04-14,Male,Shomolu,Kaduna,North East,Public,Epe,Day,No,1 hour,No,Civil Servant,High Income,Artist,Low,Music,No,Sometimes,Commerce,8,Rarely,Average,Average,Yes,No,No,Agree,No,Low,Yes,No,154,Yes
Ogidi,Emmanuel,2010-01-25,Female,Apapa,Jigawa,South South,Public,Badagry,Day,Yes,5 hours,No,Engineer,Middle Income,Businessperson,Medium,Sports,Yes,Rarely,Science,10,Rarely,Average,Good,No,No,No,Disagree,Yes,High,No,No,286,No
Uwa,Dare,2006-10-28,Female,Agege,Anambra,North East,Public,Ajeromi-Ifelodun,Boarding,Yes,10 hours,No,Business,Middle Income,Engineer,Medium,Drama,Yes,Rarely,Arts,10,Rarely,Good,Poor,No,Yes,No,Neutral,Yes,Medium,No,Yes,159,Yes
Balogun,Fatima,2008-10-10,Female,Apapa,Anambra,North East,Private,Ikorodu,Day,Yes,1 hour,No,Farmer,Low Income,Businessperson,High,Drama,Yes,Often,Science,1,Rarely,Minor Issues,Good,Yes,Yes,No,Neutral,No,High,No,No,192,Yes
Lawal,Ifeoma,2009-02-08,Female,Mushin,Enugu,North West,Private,Kosofe,Day,Yes,5 hours,Yes,Civil Servant,Low Income,Businessperson,Medium,Drama,Yes,Rarely,Science,1,Occasional,Excellent,Poor,No,No,Yes,Disagree,No,Low,Yes,No,162,Yes
Udofia,Esther,2006-01-29,Female,Ajeromi-Ifelodun,Sokoto,North West,Private,Agege,Boarding,No,10 hours,Yes,Medical Professional,Low Income,Businessperson,Medium,None,Yes,Sometimes,Arts,7,Daily,Excellent,Good,No,Yes,Yes,Strongly Agree,Yes,High,Yes,Yes,332,Yes
Adebayo,Augustina,2008-02-25,Female,Ikeja,Jigawa,North East,Public,Badagry,Boarding,No,10 hours,Yes,Medical Professional,Middle Income,Artist,High,Sports,Yes,Often,Science,10,Daily,Major Issues,Average,No,Yes,No,Strongly Agree,Yes,Low,No,No,100,Yes
Baba,Omotola,2008-07-31,Male,Apapa,Ogun,North West,Private,Kosofe,Day,No,32 hours,Yes,Civil Servant,High Income,Developer,High,Drama,Yes,Rarely,Arts,7,Daily,Good,Good,Yes,No,Yes,Disagree,No,High,No,Yes,324,Yes
Udo,Joseph,2010-07-20,Male,Lagos Island,Rivers,North East,Private,Ibeju-Lekki,Boarding,Yes,3 hours,Yes,Civil Servant,Middle Income,Lawyer,Low,Drama,No,Rarely,Commerce,9,Daily,Excellent,Average,Yes,No,Yes,Neutral,Yes,Low,No,No,339,No
Njoku,Waheed,2009-05-31,Female,Ifako-Ijaye,Osun,South West,Private,Amuwo-Odofin,Boarding,No,5 hours,No,Farmer,Low Income,Artist,Low,Sports,No,Often,Commerce,1,Daily,Average,Average,No,No,No,Agree,Yes,Medium,No,No,293,No
Anyanwu,Betty,2007-06-12,Male,Alimosho,Abuja,North West,Private,Mushin,Day,Yes,3 hours,Yes,Farmer,Middle Income,Engineer,Medium,Music,Yes,Often,Science,2,Daily,Good,Average,Yes,Yes,Yes,Disagree,Yes,High,Yes,No,114,Yes
Abdulaziz,Hassan,2008-04-25,Male,Ajeromi-Ifelodun,Adamawa,North East,Private,Ajeromi-Ifelodun,Day,No,1 hour,No,Teacher,Middle Income,Businessperson,High,Sports,Yes,Often,Science,9,Daily,Major Issues,Good,No,Yes,Yes,Disagree,No,Low,No,No,179,No
Okafor,John-pius,2006-05-15,Female,Alimosho,Ebonyi,North East,Public,Shomolu,Day,No,1 hour,Yes,Business,High Income,Engineer,High,None,Yes,Sometimes,Commerce,7,Rarely,Excellent,Average,No,No,Yes,Strongly Agree,No,Low,No,Yes,258,No
Fashola,Felicia,2010-11-14,Male,Kosofe,Delta,South South,Public,Ikorodu,Boarding,No,10 hours,No,Teacher,High Income,Lawyer,Low,Sports,Yes,Rarely,Commerce,8,Daily,Average,Good,No,Yes,Yes,Agree,Yes,Low,No,No,277,No
Ibiam,Gerald,2007-11-21,Male,Ibeju-Lekki,Kano,South West,Private,Epe,Day,No,5 hours,No,Civil Servant,High Income,Teacher,High,Music,No,Sometimes,Commerce,8,Occasional,Average,Good,Yes,No,No,Disagree,No,Low,No,No,304,Yes
Nnamdi,Bukola,2011-06-11,Male,Ojo,Kano,South West,Public,Ojo,Boarding,No,5 hours,Yes,Engineer,Low Income,Developer,Medium,Sports,No,Rarely,Arts,5,Daily,Average,Good,Yes,Yes,No,Strongly Disagree,No,High,Yes,No,249,Yes
Njoku,Zahra,2010-03-28,Male,Surulere,Kwara,South South,Private,Ibeju-Lekki,Boarding,Yes,3 hours,No,Farmer,Low Income,Doctor,High,None,No,Often,Science,1,Occasional,Minor Issues,Average,Yes,No,No,Strongly Agree,No,High,No,Yes,249,No
Sani,Nwanyinnaya,2009-12-16,Female,Amuwo-Odofin,Abia,South South,Private,Alimosho,Day,Yes,3 hours,No,Teacher,Low Income,Doctor,High,Music,No,Rarely,Arts,4,Occasional,Excellent,Average,Yes,Yes,Yes,Neutral,No,Medium,No,No,146,Yes
Ahmad,Rasaki,2009-12-22,Female,Agege,Imo,South South,Private,Badagry,Day,Yes,5 hours,Yes,Medical Professional,Low Income,Doctor,High,None,No,Rarely,Arts,8,Occasional,Good,Good,No,Yes,Yes,Strongly Disagree,Yes,Low,No,No,198,Yes
Adeola,Betty,2008-03-30,Female,Surulere,Adamawa,South East,Public,Mushin,Day,Yes,10 hours,Yes,Farmer,Low Income,Teacher,Low,Drama,No,Often,Science,9,Occasional,Average,Good,No,No,Yes,Strongly Disagree,Yes,High,Yes,No,260,Yes
Ogunyemi,Isong,2008-09-25,Female,Ojo,Imo,North East,Private,Lagos Mainland,Day,Yes,10 hours,No,Engineer,Middle Income,Lawyer,High,Clubs,Yes,Sometimes,Arts,5,Occasional,Average,Average,No,Yes,Yes,Strongly Agree,Yes,High,No,Yes,203,Yes
Akinlade,Zaharudeen,2010-10-22,Male,Kosofe,Katsina,South East,Private,Ajeromi-Ifelodun,Day,No,10 hours,Yes,Business,High Income,Doctor,Low,Clubs,No,Rarely,Commerce,3,Rarely,Minor Issues,Good,Yes,No,No,Agree,Yes,Low,No,Yes,189,Yes
Okwe,Kingsley,2007-09-24,Male,Lagos Mainland,Ondo,North West,Public,Ikeja,Day,Yes,32 hours,No,Teacher,Middle Income,Teacher,Low,Clubs,Yes,Sometimes,Commerce,4,Rarely,Good,Good,Yes,No,Yes,Neutral,Yes,High,No,Yes,154,Yes
Ayeni,Jafar,2010-12-03,Female,Mushin,Sokoto,South South,Private,Oshodi-Isolo,Day,Yes,3 hours,No,Civil Servant,Middle Income,Scientist,High,Clubs,Yes,Sometimes,Science,4,Occasional,Good,Poor,No,No,No,Agree,Yes,Medium,Yes,Yes,284,Yes
Ibiam,Zayyanu,2005-02-27,Female,Kosofe,Kogi,North East,Public,Ikeja,Boarding,No,10 hours,Yes,Business,High Income,Teacher,Medium,Clubs,No,Sometimes,Science,10,Occasional,Good,Average,No,Yes,No,Strongly Agree,Yes,Medium,Yes,Yes,198,No
Olaleye,Mansir,2009-12-31,Male,Shomolu,Ogun,North East,Private,Eti-Osa,Day,No,5 hours,No,Medical Professional,Middle Income,Artist,Low,Sports,No,Often,Commerce,5,Occasional,Minor Issues,Good,Yes,No,Yes,Strongly Disagree,Yes,Medium,Yes,No,283,Yes
Nnaemeka,Oliver,2006-02-24,Female,Shomolu,Enugu,North West,Public,Ojo,Boarding,Yes,32 hours,No,Teacher,Low Income,Businessperson,Medium,None,No,Sometimes,Commerce,5,Daily,Average,Good,Yes,Yes,No,Neutral,Yes,High,Yes,Yes,128,Yes
Ogunbanjo,Felicia,2011-09-26,Male,Ajeromi-Ifelodun,Lagos,South West,Private,Ojo,Day,Yes,10 hours,Yes,Civil Servant,High Income,Artist,Low,Drama,Yes,Rarely,Arts,10,Rarely,Major Issues,Average,Yes,Yes,No,Agree,No,High,No,No,289,Yes
Alabi,Temitope,2011-08-02,Male,Ikeja,Lagos,North East,Public,Lagos Island,Day,No,1 hour,Yes,Civil Servant,Middle Income,Artist,High,Drama,Yes,Rarely,Arts,6,Daily,Average,Good,Yes,No,Yes,Disagree,Yes,Low,Yes,Yes,257,No
Egbon,Edward,2010-01-05,Male,Alimosho,Delta,South West,Private,Apapa,Boarding,No,32 hours,Yes,Farmer,High Income,Artist,High,Clubs,Yes,Sometimes,Arts,4,Daily,Excellent,Good,No,Yes,No,Disagree,Yes,High,Yes,No,222,Yes
Patrick,Joseph,2009-08-25,Female,Epe,Ekiti,North East,Public,Mushin,Boarding,No,32 hours,Yes,Engineer,Low Income,Artist,Low,Sports,No,Rarely,Commerce,1,Daily,Minor Issues,Poor,Yes,No,No,Strongly Disagree,No,Low,Yes,No,265,Yes
Omesili,Binny,2011-06-14,Male,Epe,Kwara,South East,Public,Ojo,Day,No,3 hours,Yes,Engineer,High Income,Doctor,High,Clubs,Yes,Rarely,Science,1,Occasional,Good,Average,No,No,Yes,Strongly Disagree,Yes,Medium,No,No,312,No
Okafor,Jamilu,2009-01-22,Male,Epe,Sokoto,South South,Private,Shomolu,Boarding,Yes,1 hour,Yes,Business,High Income,Doctor,Low,Clubs,Yes,Sometimes,Arts,7,Rarely,Major Issues,Good,Yes,Yes,No,Agree,No,Medium,Yes,Yes,216,Yes
Asemota,Kehinde,2010-02-13,Male,Oshodi-Isolo,Yobe,South West,Public,Eti-Osa,Day,Yes,32 hours,No,Engineer,Low Income,Businessperson,High,Drama,No,Often,Arts,8,Occasional,Minor Issues,Good,Yes,Yes,Yes,Strongly Disagree,No,Medium,Yes,Yes,160,Yes
Elkanah,Ibrahim,2009-06-07,Male,Eti-Osa,Abia,South East,Public,Kosofe,Boarding,No,32 hours,Yes,Farmer,Middle Income,Developer,Low,Sports,Yes,Often,Science,8,Occasional,Minor Issues,Poor,Yes,No,No,Disagree,Yes,High,Yes,Yes,126,Yes
Musa,Oladipupo,2004-12-27,Male,Amuwo-Odofin,Lagos,North East,Private,Shomolu,Boarding,Yes,3 hours,Yes,Engineer,Low Income,Doctor,Medium,Clubs,No,Sometimes,Science,7,Occasional,Major Issues,Poor,Yes,No,No,Neutral,Yes,Medium,No,No,216,No
Ogore,Amomot,2007-02-26,Male,Ojo,Benue,South South,Private,Epe,Boarding,Yes,5 hours,Yes,Medical Professional,Low Income,Lawyer,High,Sports,Yes,Sometimes,Science,3,Occasional,Excellent,Poor,No,No,No,Neutral,No,Low,No,Yes,155,Yes
Anjorin,Zahra,2009-09-05,Female,Ikorodu,Plateau,South East,Public,Oshodi-Isolo,Boarding,No,5 hours,Yes,Business,Middle Income,Developer,High,Music,Yes,Often,Commerce,6,Rarely,Major Issues,Good,Yes,No,No,Neutral,No,Medium,Yes,Yes,245,Yes
Ejugwu,Emmanuel,2008-08-21,Male,Amuwo-Odofin,Gombe,South South,Public,Surulere,Day,Yes,1 hour,Yes,Civil Servant,Low Income,Teacher,Low,Music,No,Often,Commerce,6,Rarely,Excellent,Poor,No,No,No,Disagree,Yes,High,Yes,No,322,Yes
Elkanah,Mustapha,2008-08-16,Male,Alimosho,Ondo,North East,Public,Oshodi-Isolo,Boarding,No,3 hours,Yes,Farmer,Low Income,Engineer,High,Music,No,Rarely,Commerce,1,Occasional,Minor Issues,Average,Yes,No,No,Disagree,Yes,Low,No,No,177,Yes
Odoh,John-pius,2005-10-09,Male,Apapa,Ondo,North East,Public,Ifako-Ijaye,Boarding,No,10 hours,Yes,Business,High Income,Lawyer,Low,None,No,Sometimes,Commerce,4,Occasional,Excellent,Average,No,Yes,Yes,Agree,Yes,Low,Yes,No,295,Yes
Olorunfemi,Chinedu,2009-08-24,Female,Shomolu,Abuja,South East,Private,Ikeja,Boarding,Yes,3 hours,No,Medical Professional,High Income,Lawyer,High,Clubs,Yes,Sometimes,Arts,3,Occasional,Excellent,Poor,No,Yes,Yes,Neutral,Yes,High,Yes,Yes,209,No
Oluwasanmi,Ibrahim,2009-10-09,Female,Surulere,Niger,North East,Private,Mushin,Day,Yes,10 hours,Yes,Farmer,Low Income,Doctor,High,Clubs,Yes,Sometimes,Science,6,Occasional,Good,Average,Yes,No,No,Strongly Agree,Yes,High,No,No,277,No
Olorunfemi,Blessing,2008-11-27,Male,Ikeja,Jigawa,North West,Public,Agege,Day,Yes,5 hours,No,Farmer,Middle Income,Doctor,Medium,Sports,No,Rarely,Arts,1,Rarely,Average,Average,Yes,Yes,No,Strongly Disagree,No,Low,Yes,No,333,No
Omora,Omotomilola,2005-03-30,Male,Ojo,Jigawa,South South,Private,Oshodi-Isolo,Day,Yes,1 hour,Yes,Farmer,High Income,Developer,Medium,Music,Yes,Sometimes,Commerce,2,Occasional,Average,Good,No,No,No,Neutral,Yes,Medium,No,Yes,139,Yes
Okon,Joseph,2009-04-06,Male,Mushin,Cross River,North East,Public,Eti-Osa,Boarding,Yes,10 hours,No,Teacher,Middle Income,Engineer,Low,Music,Yes,Rarely,Commerce,8,Rarely,Minor Issues,Average,No,No,Yes,Agree,Yes,High,Yes,No,169,No
Akinlade,Funbi,2011-08-14,Male,Badagry,Plateau,North East,Public,Ajeromi-Ifelodun,Boarding,Yes,5 hours,No,Civil Servant,High Income,Businessperson,Medium,Clubs,Yes,Rarely,Arts,4,Occasional,Minor Issues,Poor,No,Yes,No,Agree,Yes,Medium,No,Yes,229,Yes
Badamasi,Bola,2008-01-01,Female,Oshodi-Isolo,Jigawa,North West,Public,Amuwo-Odofin,Boarding,Yes,32 hours,Yes,Farmer,High Income,Teacher,High,Clubs,Yes,Rarely,Science,7,Occasional,Average,Good,No,Yes,No,Agree,No,High,No,No,226,No
Ebi,Blessing,2008-09-22,Male,Ikorodu,Ondo,South South,Private,Ikorodu,Boarding,No,1 hour,No,Teacher,Middle Income,Doctor,Medium,None,Yes,Often,Science,6,Daily,Major Issues,Good,No,No,Yes,Neutral,Yes,Low,No,No,283,No
Femi,Nneka,2007-09-11,Female,Agege,Cross River,South West,Private,Ojo,Day,No,10 hours,Yes,Engineer,High Income,Doctor,High,Clubs,Yes,Often,Arts,5,Occasional,Good,Poor,Yes,Yes,No,Agree,Yes,Low,Yes,Yes,285,No
Yaro,Blessing,2010-11-03,Female,Surulere,Niger,North West,Public,Ojo,Boarding,Yes,3 hours,No,Business,Middle Income,Developer,Medium,Clubs,Yes,Sometimes,Arts,3,Daily,Average,Good,No,Yes,Yes,Agree,Yes,Medium,No,Yes,138,No
Usman,Kehinde,2008-11-08,Male,Lagos Mainland,Borno,North West,Private,Alimosho,Day,Yes,10 hours,No,Civil Servant,Low Income,Businessperson,High,None,No,Rarely,Arts,7,Occasional,Good,Average,Yes,Yes,No,Neutral,No,Medium,No,No,337,No
Augustine,Musa,2009-01-16,Female,Amuwo-Odofin,Kogi,South South,Private,Mushin,Boarding,Yes,32 hours,Yes,Farmer,Middle Income,Scientist,High,Clubs,No,Rarely,Commerce,3,Occasional,Good,Poor,No,No,Yes,Strongly Disagree,Yes,Medium,Yes,No,335,Yes
Oyedepo,Alice,2011-03-21,Male,Ikorodu,Edo,North West,Public,Kosofe,Day,Yes,1 hour,Yes,Teacher,Middle Income,Lawyer,Medium,Sports,No,Sometimes,Arts,5,Occasional,Average,Poor,No,No,No,Strongly Agree,Yes,Medium,Yes,Yes,150,Yes
Igbe,Nnedinma,2009-08-21,Male,Amuwo-Odofin,Anambra,South South,Private,Shomolu,Day,Yes,1 hour,Yes,Farmer,Middle Income,Teacher,Low,Sports,No,Often,Commerce,2,Rarely,Minor Issues,Average,Yes,No,Yes,Strongly Agree,Yes,Low,Yes,Yes,302,Yes
Adeleke,Christiana,2008-12-24,Female,Lagos Mainland,Kwara,North West,Private,Ikeja,Day,Yes,3 hours,No,Teacher,Middle Income,Lawyer,High,Drama,No,Often,Commerce,8,Daily,Major Issues,Average,No,Yes,Yes,Neutral,No,High,No,Yes,291,No
